district,category,total19,total20,total21,total22,last12mos
D1,Murder,6,14,15,15,17
D1,Sexual Assault,29,29,35,36,38
D1,Robbery,136,116,107,116,100
D1,Aggravated Assault,371,429,426,280,243
D1,Burglary,458,378,261,270,301
D1,Theft,1390,1440,1148,1222,1163
D1,Vehicle Theft,104,146,120,129,143
D2,Murder,6,7,6,6,10
D2,Sexual Assault,22,25,34,34,41
D2,Robbery,166,164,151,179,165
D2,Aggravated Assault,322,449,287,255,296
D2,Burglary,463,494,435,349,336
D2,Theft,1981,2106,2196,1857,1823
D2,Vehicle Theft,199,207,205,192,198
D3,Murder,11,1,7,6,3
D3,Sexual Assault,21,20,19,24,20
D3,Robbery,122,121,109,98,78
D3,Aggravated Assault,160,182,221,176,166
D3,Burglary,346,367,300,238,263
D3,Theft,2115,2063,1756,1766,1879
D3,Vehicle Theft,115,193,150,208,255
D4,Murder,12,13,18,16,14
D4,Sexual Assault,28,37,27,37,48
D4,Robbery,145,178,137,144,122
D4,Aggravated Assault,331,501,432,380,372
D4,Burglary,512,485,370,347,346
D4,Theft,1777,1722,1713,1737,1792
D4,Vehicle Theft,212,283,162,220,304
D5,Murder,3,2,4,2,1
D5,Sexual Assault,6,5,7,4,7
D5,Robbery,42,33,27,36,44
D5,Aggravated Assault,66,78,71,80,86
D5,Burglary,72,92,78,59,59
D5,Theft,572,357,543,467,461
D5,Vehicle Theft,47,49,49,54,58
